ticker_b3,modelo,i,z
AALR3,m1,1,0.08465559726341874
AALR3,m1,2,0.08628899001592254
AALR3,m1,3,0.11421464942341311
AALR3,m1,4,0.09903718221245127
AALR3,m1,5,0.04415658617955898
AALR3,m1,6,0.16405948812912935
AALR3,m1,7,0.0515596867779661
AALR3,m1,8,0.08262370773851806
AALR3,m1,9,0.03997346817640892
AALR3,m1,10,0.17886430404563833
AALR3,m1,11,0.07274438499522866
AALR3,m1,12,0.16650432532663254
AALR3,m1,13,0.07334115747772153
AALR3,m1,14,0.16985017576699132
AALR3,m1,15,0.17826197229706786
AALR3,m1,16,0.09212768902037187
AALR3,m1,17,0.17344514380823126
AALR3,m1,18,0.08838653363994617
AALR3,m1,19,0.094089950981426
AALR3,m1,20,0.11024240464832619
AALR3,m1,21,-0.46178150412403524
AALR3,m1,22,-4.759328608792858
AALR3,m1,23,-1.2606676566899335
AALR3,m1,24,-1.1614868573299504
AALR3,m1,25,0.15130771431096965
AALR3,m1,26,1.0065491120846595
AALR3,m1,27,-0.2581613667320583
AALR3,m1,28,0.9304849636406194
AALR3,m1,29,-0.3512654309457954
AALR3,m1,30,1.0379083974581826
AALR3,m1,31,-1.8918549018482147
AALR3,m1,32,0.8742235701465308
AALR3,m1,33,0.610479125286333
AALR3,m1,34,0.5050145587757995
AALR3,m1,35,0.13841566609142317
AALR3,m1,36,0.29286298915418774
AALR3,m1,37,1.1782298918019716
AALR3,m1,38,-0.5176297592433807
AALR3,m1,39,-0.2311110654929926
AALR3,m1,40,-0.2777207258420107
AALR3,m1,41,-0.009484372757980399
AALR3,m1,42,-1.1940191706415777
AALR3,m1,43,0.15724003150109955
AALR3,m1,44,-0.4195714788451265
AALR3,m1,45,0.08686105712324714
AALR3,m1,46,-0.10195499029603049
AALR3,m1,47,0.37521137643212255
AALR3,m1,48,0.16282838681390716
AALR3,m1,49,0.2294034439389544
AALR3,m1,50,-0.4653563949280593
AALR3,m1,51,-1.2536412171286604
AALR3,m1,52,0.14888539603329187
AALR3,m1,53,1.4967501213494574
AALR3,m1,54,0.83446647845261
AALR3,m1,55,0.28207367850577814
AALR3,m1,56,0.6244137574219126
AALR3,m1,57,0.3789840019976647
AALR3,m1,58,0.30687586943555595
AALR3,m1,59,0.14398720858203215
AALR3,m1,60,0.1804444497581139
AALR3,m1,61,0.0856995603957322
AALR3,m1,62,-0.07113878152800958
AALR3,m1,63,-0.1197933859432585
AALR3,m1,64,0.5413002392851046
AALR3,m1,65,-0.6705717826939419
AALR3,m1,66,0.3205526648373517
AALR3,m1,67,0.4040429614831782
AALR3,m1,68,1.8463072114360262
AALR3,m1,69,1.29243286199013
AALR3,m1,70,-1.480545191741554
AALR3,m1,71,-1.1596997522221648
AALR3,m1,72,-0.6571578627399456
AALR3,m1,73,0.4454226527410954
AALR3,m1,74,1.5220171360460801
AALR3,m1,75,2.254196990713118
AALR3,m1,76,1.25636360297445
AALR3,m1,77,-0.610266765983164
AALR3,m1,78,0.7805104685346679
AALR3,m1,79,-0.43465608971393954
AALR3,m1,80,-0.20206561960049793
AALR3,m1,81,0.21360975166356064
AALR3,m1,82,-0.07114322242742276
AALR3,m1,83,-1.6418273666447678
AALR3,m1,84,1.4047889661303685
AALR3,m1,85,-0.23796498565336235
AALR3,m1,86,0.4746581767454419
AALR3,m1,87,-0.29871678827391357
AALR3,m1,88,-0.6690655076693703
AALR3,m1,89,-0.5714671896401141
AALR3,m1,90,-0.617392124433247
AALR3,m1,91,-0.403084181782909
AALR3,m1,92,-0.024234458574520626
AALR3,m1,93,-0.9563990092958122
AALR3,m1,94,-1.2590345805791976
AALR3,m1,95,1.625342291530339
AALR3,m1,96,1.6786320077811958
AALR3,m1,97,1.6370747324388093
AALR3,m1,98,-0.2535105079671555
AALR3,m1,99,-1.673227550307104
AALR3,m1,100,0.18783352383152005
AALR3,m1,101,0.9748323925096376
AALR3,m1,102,0.32332888296023077
AALR3,m1,103,0.9343216897782883
AALR3,m1,104,0.04339884737266857
AALR3,m1,105,0.19801993867960974
AALR3,m1,106,-4.754922309038244
AALR3,m1,107,-0.04225115308704051
AALR3,m1,108,-2.485569144742973
AALR3,m1,109,0.53749718827085
AALR3,m1,110,0.9711044350722888
AALR3,m1,111,-1.7227216842554394
AALR3,m1,112,0.6326424021873994
AALR3,m1,113,0.712081564417134
AALR3,m1,114,-0.19202890754085084
AALR3,m1,115,0.47341826919771235
AALR3,m1,116,-1.026527701246139
AALR3,m1,117,-0.600951609119921
AALR3,m1,118,0.10247677431662472
AALR3,m1,119,-0.05284431413883595
AALR3,m1,120,-1.6776099463308993
AALR3,m1,121,1.5965570208486362
AALR3,m1,122,0.44503290560369424
AALR3,m1,123,-0.3793871585267122
AALR3,m1,124,0.4674340420521286
AALR3,m1,125,0.36549251588689585
AALR3,m1,126,0.6243883831885266
AALR3,m1,127,1.149345669528266
AALR3,m1,128,0.5370362972203904
AALR3,m1,129,0.12704361422436483
AALR3,m1,130,-0.456790379673486
AALR3,m1,131,0.7657512628025287
AALR3,m1,132,0.0635751433256729
AALR3,m1,133,0.24488079498328985
AALR3,m1,134,-2.1016639364243996
AALR3,m1,135,0.6969934121056351
AALR3,m1,136,0.2693769651003643
AALR3,m1,137,0.756588293493268
AALR3,m1,138,-1.3321887646673338
AALR3,m1,139,-0.5189963651986624
AALR3,m1,140,-0.06881029856268045
AALR3,m1,141,0.16558792283759707
AALR3,m1,142,-0.750669782645256
AALR3,m1,143,-0.4642203407852754
AALR3,m1,144,-0.28901929604581067
AALR3,m1,145,1.8781190904712821
AALR3,m1,146,-0.9378923435476062
AALR3,m1,147,-0.30038456987757506
AALR3,m1,148,-0.1326131517499633
AALR3,m1,149,0.332399439487377
AALR3,m1,150,0.4522571928972097
AALR3,m1,151,-1.0274299544018122
