ticker_b3,modelo,i,z
AALR3,m1,1,0.09681483672109562
AALR3,m1,2,0.10062335562690262
AALR3,m1,3,0.13114760869752912
AALR3,m1,4,0.11575931471934635
AALR3,m1,5,0.05862489828614453
AALR3,m1,6,0.1877316324545325
AALR3,m1,7,0.06641177750470685
AALR3,m1,8,0.10040237953252694
AALR3,m1,9,0.05494593177039422
AALR3,m1,10,0.20590340970737298
AALR3,m1,11,0.08903472505847806
AALR3,m1,12,0.18959744823677438
AALR3,m1,13,0.08903714276839626
AALR3,m1,14,0.19214345103200148
AALR3,m1,15,0.19820166564448058
AALR3,m1,16,0.10713003405732173
AALR3,m1,17,0.1931020158907755
AALR3,m1,18,0.10333227345789796
AALR3,m1,19,0.11040696954144594
AALR3,m1,20,0.12805236740744574
AALR3,m1,21,-0.4738945145479674
AALR3,m1,22,-5.283002043265574
AALR3,m1,23,-1.9096058759276584
AALR3,m1,24,-1.7266402253362871
AALR3,m1,25,0.2344500875833511
AALR3,m1,26,1.3210939541860787
AALR3,m1,27,-0.24231824775190358
AALR3,m1,28,0.9898268695460342
AALR3,m1,29,-0.2937689820996041
AALR3,m1,30,1.0228364938811383
AALR3,m1,31,-1.5159296287117796
AALR3,m1,32,0.906938996715323
AALR3,m1,33,0.5411278814113029
AALR3,m1,34,0.42850986887751946
AALR3,m1,35,0.12521229566297726
AALR3,m1,36,0.27096940082813953
AALR3,m1,37,1.070807404318446
AALR3,m1,38,-0.37158797968075435
AALR3,m1,39,-0.19230883969120727
AALR3,m1,40,-0.2588782278196435
AALR3,m1,41,0.002148148154689576
AALR3,m1,42,-1.2695560479452386
AALR3,m1,43,0.1976128356805761
AALR3,m1,44,-0.45863775254779765
AALR3,m1,45,0.11241640462012475
AALR3,m1,46,-0.10257610536632003
AALR3,m1,47,0.43733264158642055
AALR3,m1,48,0.18115440223968607
AALR3,m1,49,0.24813390850464265
AALR3,m1,50,-0.45677395791143727
AALR3,m1,51,-1.3405452317578037
AALR3,m1,52,0.18890657171884373
AALR3,m1,53,1.700730799641382
AALR3,m1,54,0.6795973494168269
AALR3,m1,55,0.22126176817982535
AALR3,m1,56,0.5121876232355241
AALR3,m1,57,0.3072503574320046
AALR3,m1,58,0.26029935228178985
AALR3,m1,59,0.13344913363565966
AALR3,m1,60,0.1743917695976475
AALR3,m1,61,0.09183208090558993
AALR3,m1,62,-0.05728150552473647
AALR3,m1,63,-0.11110340681714358
AALR3,m1,64,0.5901472379412992
